estimate,pe,se,t_stat,p_value,ci_lo,ci_hi,pub_bias,expected_sign,program,extended,international,regulation,clusterid,baseline,extended_international,extended_regulation,international_regulation,complete_sample,abs_t_stat,id,estimated_bias
Share of land cropped post-auction ,-.658,.051,-12.90196078431373,,,,1,1,CPP_aj,1,1,1,1,1,1,1,1,1,12.90196,CPP_ajShare of land cropped post-auction ,2.090909
Share of land cropped post-auction ,-.242,.053,-4.566037735849057,,,,1,1,CPP_pj,1,1,1,2,1,1,1,1,1,4.5660377,CPP_pjShare of land cropped post-auction ,2.090909
ATE,-.038,.019,-2,,,,1,1,PER,1,1,1,3,1,1,1,1,1,2,PERATE,2.090909
Audit completion indicator on treatment indicator,.011,.003,3.666666666666667,,,,1,1,audit_nudge,1,1,1,5,1,1,1,1,1,3.6666667,audit_nudgeAudit completion indicator on treatment indicator,2.090909
"VMT remaining, eligible group",16027.6,161,99.55031055900622,,,,1,1,baaqmd,1,1,1,6,1,1,1,1,1,99.550308,"baaqmdVMT remaining, eligible group",2.090909
"Days of driving remaining, eligible group ",1394.2,9.509,146.6189925333894,,,,1,1,baaqmd,1,1,1,6,1,1,1,1,1,146.61899,"baaqmdDays of driving remaining, eligible group ",2.090909
Effect of rebate on per capita BEV registration,.078,.027,2.888888888888889,,,,1,1,bev_state,1,1,1,8,1,1,1,1,1,2.8888888,bev_stateEffect of rebate on per capita BEV registration,2.090909
Experience exponent,.421,.063,6.682539682539682,,,,1,1,bev_state,1,1,1,8,1,1,1,1,1,6.6825395,bev_stateExperience exponent,2.090909
June-December Effect on vehicle MPG,.21,.04,5.25,,,,1,1,c4c_federal,1,1,1,16,1,1,1,1,1,5.25,c4c_federalJune-December Effect on vehicle MPG,2.090909
Fuel economy (MPG) on CARS eligibility,.6578000000000001,.0929,7.080731969860065,,,,1,1,c4c_texas,1,1,1,17,1,1,1,1,1,7.0807319,c4c_texasFuel economy (MPG) on CARS eligibility,2.090909
Percent subsidized on CARS eligibility,.2107,.0073,28.86301369863014,,,,1,1,c4c_texas,1,1,1,17,1,1,1,1,1,28.863014,c4c_texasPercent subsidized on CARS eligibility,2.090909
Effect of Rebate Incentive on Energy Conservation: Inland,-.042,.013,-3.230769230769231,,,,1,1,ca_electric,1,1,1,18,1,1,1,1,1,3.2307692,ca_electricEffect of Rebate Incentive on Energy Conservation: Inland,2.090909
"Effect of Rebate Incentive on Energy Conservation: Long Run, Inland, 2008",-.043,.022,-1.954545454545455,,,,1,1,ca_electric,1,1,1,18,1,1,1,1,1,1.9545455,"ca_electricEffect of Rebate Incentive on Energy Conservation: Long Run, Inland, 2008",2.090909
"Effect of Rebate Incentive on Energy Conservation: Long Run, Inland, 2006",-.04,.018,-2.222222222222222,,,,1,1,ca_electric,1,1,1,18,1,1,1,1,1,2.2222223,"ca_electricEffect of Rebate Incentive on Energy Conservation: Long Run, Inland, 2006",2.090909
"Effect of Rebate Incentive on Energy Conservation: Long Run, Inland, 2007",-.048,.021,-2.285714285714286,,,,1,1,ca_electric,1,1,1,18,1,1,1,1,1,2.2857144,"ca_electricEffect of Rebate Incentive on Energy Conservation: Long Run, Inland, 2007",2.090909
Effect of Rebate Incentive on Energy Conservation: Coastal,-.0012,.002,-.6,,,,1,1,ca_electric,1,1,1,18,1,1,1,1,1,.60000002,ca_electricEffect of Rebate Incentive on Energy Conservation: Coastal,2.090909
LATE of   CARE enrollment on gas consumption,1.909,.9198,2.075451185040226,,,,1,1,care,1,1,1,19,1,1,1,1,1,2.0754511,careLATE of   CARE enrollment on gas consumption,2.090909
Demand elasticity of solar photovoltaics,-.368,.239,-1.539748953974895,,,,1,1,cog_gas,1,1,1,20,1,1,1,1,1,1.5397489,cog_gasDemand elasticity of solar photovoltaics,2.090909
Demand elasticity of solar photovoltaics,-.651,.2684,-2.42548435171386,,,,1,1,ct_solar,1,1,1,22,1,1,1,1,1,2.4254844,ct_solarDemand elasticity of solar photovoltaics,2.090909
Experience exponent,.319,.043,7.418604651162791,,,,1,1,ct_solar,1,1,1,22,1,1,1,1,1,7.4186049,ct_solarExperience exponent,2.090909
log share of Energy Star applicants on clothes washers * wt. avg. rebate amount,.395,.132,2.992424242424242,,,,1,1,cw_datta,1,1,1,23,1,1,1,1,1,2.9924242,cw_dattalog share of Energy Star applicants on clothes washers * wt. avg. rebate amount,2.090909
Price elasticity of gas consumption,-.46,.23,-2,,,,1,1,dk_gas,1,1,1,24,1,1,1,1,1,2,dk_gasPrice elasticity of gas consumption,2.090909
log share of Energy Star applicants on clothes washers * wt. avg. rebate amount,-.604,.417,-1.448441247002398,,,,1,1,dw_datta,1,1,1,26,1,1,1,1,1,1.4484413,dw_dattalog share of Energy Star applicants on clothes washers * wt. avg. rebate amount,2.090909
Effect of 1 spiff and $100 rebate on purchase indicator of energy star water heater,.219,.118,1.855932203389831,,,,1,1,es_incent,1,1,1,27,1,1,1,1,1,1.8559322,es_incentEffect of 1 spiff and $100 rebate on purchase indicator of energy star water heater,2.090909
"Monthly electricity consumption (kWH) on refrigerator replacement, unqualified ",-38.02,3.2,-11.88125,,,,1,1,esa_fridge,1,1,1,28,1,1,1,1,1,11.88125,"esa_fridgeMonthly electricity consumption (kWH) on refrigerator replacement, unqualified ",2.090909
"Monthly electricity consumption (kWH) on refrigerator replacement, qualified ",-73.45,2.68,-27.40671641791045,,,,1,1,esa_fridge,1,1,1,28,1,1,1,1,1,27.406717,"esa_fridgeMonthly electricity consumption (kWH) on refrigerator replacement, qualified ",2.090909
log share of Energy Star applicants on refrigerators * wt. avg. rebate amount,.282,.15,1.88,,,,1,1,fridge_datta,1,1,1,33,1,1,1,1,1,1.88,fridge_dattalog share of Energy Star applicants on refrigerators * wt. avg. rebate amount,2.090909
Demand elasticity of gasoline,-.164,.024,-6.833333333333333,,,,1,1,gelman_gas,1,1,1,35,1,1,1,1,1,6.8333335,gelman_gasDemand elasticity of gasoline,2.090909
Demand elasticity of solar photovoltaics,-.042,.007,-6,,,,1,1,h_gas_01_06,1,1,1,36,1,1,1,1,1,6,h_gas_01_06Demand elasticity of solar photovoltaics,2.090909
Impact of LEEP on logged monthly energy consumption ,-.071,.02,-3.55,,,,1,1,hancevic_rf,1,1,1,38,1,1,1,1,1,3.55,hancevic_rfImpact of LEEP on logged monthly energy consumption ,2.090909
treat_3b,1.4,.19,7.368421052631579,,,,1,1,her_compiled,1,1,1,39,1,1,1,1,1,7.3684211,her_compiledtreat_3b,2.090909
treat_15,1.89,.21,9,,,,1,1,her_compiled,1,1,1,39,1,1,1,1,1,9,her_compiledtreat_15,2.090909
treat_5,2.7,.44,6.136363636363637,,,,1,1,her_compiled,1,1,1,39,1,1,1,1,1,6.1363635,her_compiledtreat_5,2.090909
treat_12,1.39,.34,4.088235294117647,,,,1,1,her_compiled,1,1,1,39,1,1,1,1,1,4.0882354,her_compiledtreat_12,2.090909
treat_3q,1.37,.19,7.210526315789474,,,,1,1,her_compiled,1,1,1,39,1,1,1,1,1,7.2105265,her_compiledtreat_3q,2.090909
treat_11m,1.96,.14,14,,,,1,1,her_compiled,1,1,1,39,1,1,1,1,1,14,her_compiledtreat_11m,2.090909
treat_6,1.64,.33,4.969696969696969,,,,1,1,her_compiled,1,1,1,39,1,1,1,1,1,4.969697,her_compiledtreat_6,2.090909
treat_11q,1.49,.2,7.449999999999999,,,,1,1,her_compiled,1,1,1,39,1,1,1,1,1,7.4499998,her_compiledtreat_11q,2.090909
treat_7,2.48,.25,9.92,,,,1,1,her_compiled,1,1,1,39,1,1,1,1,1,9.9200001,her_compiledtreat_7,2.090909
treat_17,1.84,.43,4.279069767441861,,,,1,1,her_compiled,1,1,1,39,1,1,1,1,1,4.2790699,her_compiledtreat_17,2.090909
treat_13,1.44,.51,2.823529411764706,,,,1,1,her_compiled,1,1,1,39,1,1,1,1,1,2.8235295,her_compiledtreat_13,2.090909
treat_9,1.63,.15,10.86666666666667,,,,1,1,her_compiled,1,1,1,39,1,1,1,1,1,10.866667,her_compiledtreat_9,2.090909
treat_8,3.32,.54,6.148148148148147,,,,1,1,her_compiled,1,1,1,39,1,1,1,1,1,6.1481481,her_compiledtreat_8,2.090909
treat_2,1.83,.2,9.15,,,,1,1,her_compiled,1,1,1,39,1,1,1,1,1,9.1499996,her_compiledtreat_2,2.090909
treat_4q,2.26,.21,10.76190476190476,,,,1,1,her_compiled,1,1,1,39,1,1,1,1,1,10.761905,her_compiledtreat_4q,2.090909
treat_4m,2.72,.18,15.11111111111111,,,,1,1,her_compiled,1,1,1,39,1,1,1,1,1,15.111111,her_compiledtreat_4m,2.090909
treat_16,3.14,.37,8.486486486486488,,,,1,1,her_compiled,1,1,1,39,1,1,1,1,1,8.4864864,her_compiledtreat_16,2.090909
Log per capita sales on state sales tax waiver,.0239,.0246,.9715447154471545,,,,1,1,hev_usa_i,1,1,1,40,1,1,1,1,1,.97154474,hev_usa_iLog per capita sales on state sales tax waiver,2.090909
Log per capita sales on sales tax waiver ,.374,.141,2.652482269503546,,,,1,1,hev_usa_s,1,1,1,41,1,1,1,1,1,2.6524823,hev_usa_sLog per capita sales on sales tax waiver ,2.090909
Wind power capacity additions on production incentive (cent/kWh),.00317,.001481308411215,2.14,,,,1,1,hitaj_ptc,1,1,1,43,1,1,1,1,1,2.1400001,hitaj_ptcWind power capacity additions on production incentive (cent/kWh),2.090909
Experience exponent,.194,.041,4.73170731707317,,,,1,1,hitaj_ptc,1,1,1,43,1,1,1,1,1,4.7317071,hitaj_ptcExperience exponent,2.090909
" daily PV instillations per day on rebate rate ($/W), near boundary ",.963,.426,2.26056338028169,,,,1,1,hughes_csi,1,1,1,44,1,1,1,1,1,2.2605634,"hughes_csi daily PV instillations per day on rebate rate ($/W), near boundary ",2.090909
Total daily PV instillations per day on rebate rate ($/W),1.008,.111,9.081081081081081,,,,1,1,hughes_csi,1,1,1,44,1,1,1,1,1,9.0810814,hughes_csiTotal daily PV instillations per day on rebate rate ($/W),2.090909
"Sales change in % without incentives, 2003",-19.75,.7219387755102046,-27.35689045936394,,-20.91,-18.08,1,1,hybrid_cr,1,1,1,45,1,1,1,1,1,27.35689,"hybrid_crSales change in % without incentives, 2003",2.090909
"Weatherization x high Treat, gas",-.402,.151,-2.662251655629139,,,,1,1,ihwap_hb,1,1,1,46,1,1,1,1,1,2.6622517,"ihwap_hbWeatherization x high Treat, gas",2.090909
"Baseline weatherization reduction, gas",-1.623,.0982,-16.52749490835031,,,,1,1,ihwap_hb,1,1,1,46,1,1,1,1,1,16.527494,"ihwap_hbBaseline weatherization reduction, gas",2.090909
"weatharization x high treatment, gas ",-.471,.0313,-15.0479233226837,,,,1,1,ihwap_hb,1,1,1,46,1,1,1,1,1,15.047923,"ihwap_hbweatharization x high treatment, gas ",2.090909
"weatharization x high treatment, electricity ",-.0656,.0713,-.9200561009817673,,,,1,1,ihwap_hb,1,1,1,46,1,1,1,1,1,.9200561,"ihwap_hbweatharization x high treatment, electricity ",2.090909
"Weatherization x Low Treat, electricity",-.0338,.0581,-.5817555938037865,,,,1,1,ihwap_lb,1,1,1,47,1,1,1,1,1,.58175558,"ihwap_lbWeatherization x Low Treat, electricity",2.090909
"Weatherization x Low Treat, gas",-.353,.136,-2.595588235294117,,,,1,1,ihwap_lb,1,1,1,47,1,1,1,1,1,2.5955882,"ihwap_lbWeatherization x Low Treat, gas",2.090909
"Percent change in consumption of electricity from WAP, IV-FE",-.166,.0633,-2.622432859399684,,,,1,1,jet_fuel,1,1,1,50,1,1,1,1,1,2.6224329,"jet_fuelPercent change in consumption of electricity from WAP, IV-FE",2.090909
Demand elasticity of gas,-.198,.053,-3.735849056603774,,,,1,1,k_gas_15_22,1,1,1,51,1,1,1,1,1,3.7358491,k_gas_15_22Demand elasticity of gas,2.090909
Elasticity of demand for gasoline,-.295,.031,-9.516129032258064,,,,1,1,levin_gas,1,1,1,53,1,1,1,1,1,9.5161295,levin_gasElasticity of demand for gasoline,2.090909
Demand elasticity of gasoline,-.323,.0828,-3.900966183574879,,,,1,1,li_gas,1,1,1,54,1,1,1,1,1,3.9009662,li_gasDemand elasticity of gasoline,2.090909
