program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
sl_offset,MVPF,119.4383486594212,,,,,baseline,1,0
sl_offset,MVPF_no_cc,,,,,,baseline,1,0
sl_offset,cost,497089.13631084,,,,.30007312,baseline,1,0
sl_offset,WTP,59371505.57750464,,,,35.84024,baseline,1,0
sl_offset,program_cost,1656559.989847435,,,,,baseline,1,0
sl_offset,total_cost,497089.13631084,,,,,baseline,1,0
sl_offset,beh_fisc_ext,,,,,,baseline,1,0
sl_offset,utility_fisc_ext,,,,,,baseline,1,0
sl_offset,gas_fisc_ext,,,,,,baseline,1,0
sl_offset,fed_fisc_ext,,,,,,baseline,1,0
sl_offset,state_fisc_ext,,,,,,baseline,1,0
sl_offset,WTP_USPres,0,,,,,baseline,1,0
sl_offset,WTP_USFut,7920175.61111959,,,,,baseline,1,0
sl_offset,WTP_RoW,51451329.96638505,,,,,baseline,1,0
sl_offset,WTP_USTotal,,,,,,baseline,1,0
sl_offset,enviro_mvpf,,,,,,baseline,1,0
sl_offset,cost_mvpf,,,,,,baseline,1,0
sl_offset,firm_mvpf,,,,,,baseline,1,0
sl_offset,cost_wtp,,,,,,baseline,1,0
sl_offset,env_cost_wtp,,,,,,baseline,1,0
sl_offset,marginal,,,,,,baseline,1,0
sl_offset,infmarg,,,,,,baseline,1,0
sl_offset,wtp_private,,,,,,baseline,1,0
sl_offset,wtp_soc,,,,,,baseline,1,0
sl_offset,wtp_no_ice,,,,,,baseline,1,0
sl_offset,wtp_yes_ev,,,,,,baseline,1,0
sl_offset,wtp_yes_hev,,,,,,baseline,1,0
sl_offset,wtp_soc_rbd,,,,,,baseline,1,0
sl_offset,wtp_yes_ev_local,,,,,,baseline,1,0
sl_offset,wtp_no_ice_local,,,,,,baseline,1,0
sl_offset,env_cost_wtp_l,,,,,,baseline,1,0
sl_offset,wtp_soc_rbd_l,,,,,,baseline,1,0
sl_offset,wtp_yes_ev_g,,,,,,baseline,1,0
sl_offset,wtp_no_ice_g,,,,,,baseline,1,0
sl_offset,env_cost_wtp_g,,,,,,baseline,1,0
sl_offset,wtp_soc_rbd_g,,,,,,baseline,1,0
sl_offset,wtp_marg,0,,,,,baseline,1,0
sl_offset,wtp_inf,0,,,,,baseline,1,0
sl_offset,wtp_glob,59371505.57750464,,,,,baseline,1,0
sl_offset,wtp_loc,0,,,,,baseline,1,0
sl_offset,wtp_r_glob,0,,,,,baseline,1,0
sl_offset,wtp_r_loc,0,,,,,baseline,1,0
sl_offset,wtp_e_cost,,,,,,baseline,1,0
sl_offset,WTP_cc,,,,,,baseline,1,0
sl_offset,wtp_install,,,,,,baseline,1,0
sl_offset,wtp_prod,,,,,,baseline,1,0
sl_offset,wtp_prod_s,,,,,,baseline,1,0
sl_offset,wtp_prod_u,,,,,,baseline,1,0
sl_offset,wtp_cons,0,,,,,baseline,1,0
sl_offset,wtp_deal,,,,,,baseline,1,0
sl_offset,admin_cost,,,,,,baseline,1,0
sl_offset,wtp_permits,,,,,,baseline,1,0
sl_offset,wtp_abatement,,,,,,baseline,1,0
sl_offset,permitrev,,,,,,baseline,1,0
sl_offset,wtp_no_leak,,,,,,baseline,1,0
sl_offset,wtp_leak,,,,,,baseline,1,0
sl_offset,wtp_soc_g,,,,,,baseline,1,0
sl_offset,wtp_soc_l,,,,,,baseline,1,0
sl_offset,fisc_ext_t,0,,,,,baseline,1,0
sl_offset,fisc_ext_s,0,,,,,baseline,1,0
sl_offset,fisc_ext_lr,-1159470.853536595,,,,,baseline,1,0
sl_offset,q_CO2,342954.14,,,,,baseline,1,0
sl_offset,q_CO2_no,,,,,,baseline,1,0
sl_offset,p_spend,1656559.989847435,,,,,baseline,1,0
sl_offset,ev_sub_c,,,,,,baseline,1,0
sl_offset,ev_sub_c_row,,,,,,baseline,1,0
sl_offset,ev_sub_c_us,,,,,,baseline,1,0
sl_offset,ev_sub_env,,,,,,baseline,1,0
sl_offset,ev_sub_cost,,,,,,baseline,1,0
sl_offset,profits_fisc_e,,,,,,baseline,1,0
sl_offset,wtp_soc_l_po,,,,,,baseline,1,0
sl_offset,wtp_soc_l_dr,,,,,,baseline,1,0
sl_offset,gov_carbon,,,,,,baseline,1,0
sl_offset,resource_ce,,,,,,baseline,1,0
sl_offset,q_carbon_mck,,,,,,baseline,1,0
sl_offset,semie,,,,,,baseline,1,0
sl_offset,pass_through,,,,,,baseline,1,0
sl_offset,permitrev_new,,,,,,baseline,1,0
sl_offset,permitrev_ex,,,,,,baseline,1,0
sl_offset,fiscalext,,,,,,baseline,1,0
sl_offset,firm_cost_wtp,,,,,,baseline,1,0
sl_offset,c_savings,,,,,,baseline,1,0
sl_offset,resource_cost,,,,,,baseline,1,0
sl_offset,q_CO2_mck,,,,,,baseline,1,0
sl_offset,q_CO2_mck_no,,,,,,baseline,1,0
sl_offset,wtp_ctr,,,,,,baseline,1,0
sl_offset,gas_corp_fisc_e,,,,,,baseline,1,0
sl_offset,epsilon,,,,,,baseline,1,0
sl_offset,transfer,,,,,,baseline,1,0
sl_offset,enviro_wtp,,,,,,baseline,1,0
sl_offset,cost_curve,,,,,,baseline,1,0
sl_offset,profits,,,,,,baseline,1,0
sl_offset,subsidies,,,,,,baseline,1,0
sl_offset,taxes,,,,,,baseline,1,0
sl_offset,wtp_batt,,,,,,baseline,1,0
sl_offset,wtp_local_w_r,,,,,,baseline,1,0
sl_offset,wind_g_wf,,,,,,baseline,1,0
sl_offset,wind_l_wf,,,,,,baseline,1,0
